name,frequency
Jamie,16.0
Jeff,16.0
Kerem,16.0
Lorenzo,16.0
Mert,16.0
Miraç,16.0
René,16.0
Silas,16.0
Stig,16.0
Taha,16.0
Yassine,16.0
Ziyad,16.0
Christian,15.0
Flynn,15.0
Ian,15.0
Idriss,15.0
Jannes,15.0
Joachim,15.0
Joseph,15.0
Lenny,15.0
Lior,15.0
Louie,15.0
Miro,15.0
Naud,15.0
Nio,15.0
Pablo,15.0
Safwan,15.0
Stefan,15.0
Titus,15.0
Tyler,15.0
Walt,15.0
Yannis,15.0
Yaro,15.0
Achilles,14.0
Alan,14.0
Anis,14.0
Boaz,14.0
Cedric,14.0
Diego,14.0
Emilio,14.0
Félix,14.0
Ilyan,14.0
Ilyano,14.0
Jad,14.0
Jonah,14.0
Karel,14.0
Klaas,14.0
Louay,14.0
Matei,14.0
Mehmet,14.0
Musa,14.0
Nicholas,14.0
Noé,14.0
Rube,14.0
Sieg,14.0
Tenzin,14.0
Vinn,14.0
Aleksander,13.0
Ediz,13.0
Jarne,13.0
Jens,13.0
Julius,13.0
Liano,13.0
Mads,13.0
Mikail,13.0
Mylan,13.0
Médard,13.0
Nelles,13.0
Neo,13.0
Nino,13.0
Remus,13.0
Seb,13.0
Siem,13.0
Thieu,13.0
Tiago,13.0
Tijs,13.0
Witse,13.0
Alexandru,12.0
Alparslan,12.0
Amos,12.0
Arda,12.0
Aymen,12.0
Daoud,12.0
Deniz,12.0
Elia,12.0
Eliano,12.0
Elliott,12.0
Ewout,12.0
Fabian,12.0
Gaspard,12.0
Gustave,12.0
Hasan,12.0
Joren,12.0
Kayden,12.0
Keano,12.0
Kenan,12.0
Luiz,12.0
Mattheo,12.0
Menno,12.0
Mill,12.0
Miran,12.0
Natan,12.0
Noa,12.0
Pierre,12.0
Ray,12.0
Rens,12.0
Rinus,12.0
Talha,12.0
Wies,12.0
Xavi,12.0
Angelo,11.0
Bruno,11.0
Connor,11.0
Cézar,11.0
Dante,11.0
Danté,11.0
Darius,11.0
Edgar,11.0
Edouard,11.0
Elian,11.0
Gauthier,11.0
Henry,11.0
Ishak,11.0
Ismael,11.0
Iyad,11.0
Jakub,11.0
Jay,11.0
Karim,11.0
Khalid,11.0
Leonardo,11.0
Lyano,11.0
Martin,11.0
Marwan,11.0
Mathiz,11.0
Mattéo,11.0
Melvin,11.0
Merlijn,11.0
Naïm,11.0
Nelson,11.0
Noud,11.0
Omer,11.0
Rafaël,11.0
Ragnar,11.0
Safouan,11.0
Stef,11.0
