name,frequency
Cosette,11.0
Dilara,11.0
Eleanor,11.0
Elsa,11.0
Eslem,11.0
Fee,11.0
Firdaws,11.0
Freya,11.0
Gabrielle,11.0
Israa,11.0
Johanna,11.0
Jolie,11.0
Joyce,11.0
Kawtar,11.0
Leen,11.0
Lexa,11.0
Lot,11.0
Milena,11.0
Pip,11.0
Polly,11.0
Romée,11.0
Rozanne,11.0
Sana,11.0
Selin,11.0
Tilda,11.0
Vanessa,11.0
Yusra,11.0
Alana,10.0
Alicja,10.0
Amilia,10.0
Aurore,10.0
Basma,10.0
Bella,10.0
Capucine,10.0
Charlize,10.0
Célia,10.0
Daria,10.0
Davina,10.0
Dunya,10.0
Edith,10.0
Ella-Louise,10.0
Elly,10.0
Féliz,10.0
Halima,10.0
Hasse,10.0
Ilyana,10.0
Indy,10.0
Joanne,10.0
Kyara,10.0
Leia,10.0
Leni,10.0
Liesl,10.0
Lilya,10.0
Linne,10.0
Lis,10.0
Lucille,10.0
Léna,10.0
Léonore,10.0
Mae,10.0
Margo,10.0
Marieke,10.0
Melanie,10.0
Melis,10.0
Melisa,10.0
Melody,10.0
Nomi,10.0
Sanne,10.0
Valerie,10.0
Aaliyah,9.0
Adelina,9.0
Adeline,9.0
Alae,9.0
Alara,9.0
Alba,9.0
Alissa,9.0
Allison,9.0
Amaryllis,9.0
Antonia,9.0
Asma,9.0
Ayse,9.0
Aïcha,9.0
Caithlyn,9.0
Caitlin,9.0
Chiara,9.0
Clémence,9.0
Coralie,9.0
Elia,9.0
Eliz,9.0
Ellen,9.0
Emely,9.0
Filippa,9.0
Firdaous,9.0
Félien,9.0
Grace,9.0
Heleen,9.0
Hélène,9.0
Ikra,9.0
Inayah,9.0
Ine,9.0
Isabelle,9.0
Iza,9.0
Janna,9.0
Jasmin,9.0
Jessica,9.0
Kaylee,9.0
Lamis,9.0
Laurien,9.0
Lenne,9.0
Liah,9.0
Loeka,9.0
Lora,9.0
Luca,9.0
Lucía,9.0
Lyna,9.0
Mariama,9.0
Mathilde,9.0
Melek,9.0
Mien,9.0
Nayla,9.0
Nefes,9.0
Nena,9.0
Neva,9.0
Nia,9.0
Nola,9.0
Roxane,9.0
Roza,9.0
Samira,9.0
Sirine,9.0
Tille,9.0
Tuana,9.0
Valentine,9.0
Zayneb,9.0
Zeyneb,9.0
Aiko,8.0
Alia,8.0
Amara,8.0
Améline,8.0
Arwen,8.0
Audrey,8.0
Aurelia,8.0
Blessing,8.0
Camélia,8.0
Cleo,8.0
Erin,8.0
Erva,8.0
Evelien,8.0
Eveline,8.0
Gabriella,8.0
Hanae,8.0
Hind,8.0
Hira,8.0
Iluna,8.0
Iman,8.0
Inès,8.0
Jane,8.0
Jannat,8.0
Jelena,8.0
Jolene,8.0
Joséphine,8.0
Joy,8.0
Joëlle,8.0
Jules,8.0
Juliet,8.0
Justine,8.0
Kate,8.0
Lente,8.0
Lexy,8.0
Lies,8.0
Lily-Rose,8.0
Linn,8.0
Lobke,8.0
Lois,8.0
Louiza,8.0
Luce,8.0
Mayssa,8.0
Maëlys,8.0
Meyra,8.0
Nele,8.0
Nila,8.0
Nisrine,8.0
Ode,8.0
Oumayra,8.0
Pola,8.0
Rabia,8.0
Ravza,8.0
Renee,8.0
Silke,8.0
Silya,8.0
Simay,8.0
Stiene,8.0
Thalia,8.0
Thelma,8.0
Violette,8.0
Yana,8.0
Ziva,8.0
Alexa,7.0
Alison,7.0
Anais,7.0
Angelina,7.0
Anne,7.0
Asli,7.0
Auke,7.0
Aysima,7.0
Babs,7.0
Beau,7.0
Binta,7.0
Catalina,7.0
Clarisse,7.0
Cléo,7.0
Defne,7.0
Destiny,7.0
Diete,7.0
Dounia,7.0
Ebrar,7.0
Ecrin,7.0
Eden,7.0
Eleonore,7.0
Elora,7.0
Elouise,7.0
Elya,7.0
Esmé,7.0
Faigy,7.0
Fatma,7.0
Florine,7.0
Frie,7.0
Gitte,7.0
Gitty,7.0
Hatice,7.0
Helin,7.0
Iliana,7.0
Ina,7.0
Jailey,7.0
Jara,7.0
Jasmien,7.0
Jitte,7.0
Kiara,7.0
Kira,7.0
Lauranne,7.0
Laurence,7.0
Laïs,7.0
Leonor,7.0
Lin,7.0
Lisanne,7.0
Lizette,7.0
Lizzie,7.0
Lori,7.0
Lotta,7.0
Loïs,7.0
Maite,7.0
Malia,7.0
Malika,7.0
Maroua,7.0
Marte,7.0
Meghan,7.0
Melike,7.0
Meryam,7.0
Mitte,7.0
Nadia,7.0
Nelia,7.0
Nella,7.0
Otilia,7.0
Rani,7.0
Ranya,7.0
Rebeca,7.0
Rosaline,7.0
Ruby,7.0
Serena,7.0
Sham,7.0
Sidra,7.0
Suri,7.0
Talia,7.0
Tove,7.0
Yade,7.0
Zoey,7.0
Zümra,7.0
Agata,6.0
Alaa,6.0
Alex,6.0
Alysia,6.0
Alyssia,6.0
Amandine,6.0
Amaya,6.0
Aminata,6.0
Anaëlle,6.0
Andrea,6.0
Antonina,6.0
Apolline,6.0
Ariadne,6.0
Arwa,6.0
Asiya,6.0
Ayah,6.0
Bayan,6.0
Beyza,6.0
Britt,6.0
Carolina,6.0
Cathaleya,6.0
Catharina,6.0
Clarice,6.0
Damla,6.0
Dayana,6.0
Delia,6.0
Dua,6.0
Eda,6.0
Elana,6.0
Elea,6.0
Eleni,6.0
Eleysa,6.0
Ella-June,6.0
Ella-Marie,6.0
Emeline,6.0
Erika,6.0
Esin,6.0
Estee,6.0
Evelyne,6.0
Evy,6.0
Feliz,6.0
Fem,6.0
Feyza,6.0
Franne,6.0
Gioia,6.0
Hazal,6.0
Heavenly,6.0
Houda,6.0
Hümeyra,6.0
Imme,6.0
Insaf,6.0
Kadiatou,6.0
Kawthar,6.0
Kayla,6.0
Klea,6.0
Laila,6.0
Larissa,6.0
Leonore,6.0
Letty,6.0
Lian,6.0
Liese,6.0
Liza,6.0
Lona,6.0
Loreana,6.0
Luisa,6.0
Lus,6.0
Lyanna,6.0
Léana,6.0
Maia,6.0
Malou,6.0
Manal,6.0
Marlies,6.0
Maura,6.0
Mette,6.0
Meysa,6.0
Mies,6.0
Mihrimah,6.0
Milana,6.0
Monica,6.0
Myriam,6.0
Myrthe,6.0
Nanou,6.0
Nathalie,6.0
Nazli,6.0
Naëlle,6.0
Nicole,6.0
Nihal,6.0
Nihan,6.0
Noore,6.0
Noëmie,6.0
Nyla,6.0
Odet,6.0
Ophelia,6.0
Oumou,6.0
Philippa,6.0
Phoebe,6.0
Pixie,6.0
Rae,6.0
Rahaf,6.0
Rawan,6.0
Rebecca,6.0
Renske,6.0
Rhune,6.0
Romane,6.0
Sahar,6.0
Samia,6.0
Savannah,6.0
Siel,6.0
Sumaya,6.0
Suus,6.0
Tara,6.0
Tasniem,6.0
Tilly,6.0
Vienna,6.0
Wiam,6.0
Wiktoria,6.0
Yagmur,6.0
Yaren,6.0
Zaineb,6.0
Zoe,6.0
Zofia,6.0
Alea,5.0
Aleksandra,5.0
Alexe,5.0
Alexi,5.0
Alies,5.0
Alma,5.0
Almila,5.0
Almina,5.0
Alyana,5.0
Alycia,5.0
Amanda,5.0
Amine,5.0
Anna-Belle,5.0
Anne-Sophie,5.0
Asa,5.0
Aseel,5.0
Asmin,5.0
Assil,5.0
Athena,5.0
Aurelie,5.0
Axana,5.0
Ayana,5.0
Ayra,5.0
Beatrice,5.0
Belinay,5.0
Bes,5.0
Bonnie,5.0
Catho,5.0
Chams,5.0
Chelsey,5.0
Chloe,5.0
Coco,5.0
Célestine,5.0
Dalia,5.0
Daniella,5.0
Deniz,5.0
Derin,5.0
Dieuwke,5.0
Divine,5.0
Doha,5.0
Dylana,5.0
Elis,5.0
Emi,5.0
Emiliana,5.0
Emmanuella,5.0
Emmeline,5.0
Emmylou,5.0
Ena,5.0
Ester,5.0
Evelina,5.0
Felice,5.0
Felicity,5.0
Fiebe,5.0
Hailie,5.0
Ianthe,5.0
Ilena,5.0
Indi,5.0
Jacqueline,5.0
Jannah,5.0
Jaylee,5.0
Joni,5.0
Judith,5.0
Juliana,5.0
Kaoutar,5.0
Karina,5.0
Kayleigh,5.0
Kelly,5.0
Kimberly,5.0
Kornelia,5.0
Kyana,5.0
Kyra,5.0
Lani,5.0
Latifa,5.0
Laurie,5.0
Lavin,5.0
Laya,5.0
Leanne,5.0
Lenna,5.0
Leonora,5.0
Leya,5.0
Lieselot,5.0
Lilo,5.0
Linah,5.0
Liss,5.0
Lizet,5.0
Luiza,5.0
Lux,5.0
Lya,5.0
Maithé,5.0
Malka,5.0
Marcelle,5.0
Maren,5.0
Marielou,5.0
Marion,5.0
Maure,5.0
Maxence,5.0
Mayra,5.0
Minthe,5.0
Miral,5.0
Mirre,5.0
Miruna,5.0
Nane,5.0
Nelly,5.0
Ninthe,5.0
Noemi,5.0
Otice,5.0
Oumnia,5.0
Pelin,5.0
Penelope,5.0
Phéline,5.0
Pipa,5.0
Puck,5.0
Rahma,5.0
Reina,5.0
Riley,5.0
Ritaj,5.0
Rodayna,5.0
Romaysa,5.0
Ronja,5.0
Rozie,5.0
Sabrina,5.0
Sabrine,5.0
Sasha,5.0
Shana,5.0
Soumaya,5.0
Stephanie,5.0
Suzie,5.0
Théa,5.0
Tiana,5.0
Tilde,5.0
Uma,5.0
Vera,5.0
Vesper,5.0
Victoire,5.0
Vie,5.0
Viv,5.0
Willow,5.0
Yasemin,5.0
Ylana,5.0
Yliana,5.0
Youssra,5.0
Zoya,5.0
